id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
scaffold21871-9252	4	7.945e-01	3.687e+00	2.901e+00	2.037e-01	5.301e-01	2.806e-01	3.691e+01	3.205e+01	3.950e+00	3.093e+00
scaffold21871-9254	4	7.687e-01	5.106e+00	3.390e+00	1.321e-01	5.302e-01	2.816e-01	4.356e+01	3.438e+01	4.943e+00	3.375e+00
scaffold2193-5869	4	7.800e-01	-3.479e-02	2.707e+00	9.897e-01	5.196e-01	2.896e-01	3.582e+01	3.164e+01	6.432e+00	3.016e+00
scaffold21936-4996	4	7.572e-01	7.610e+00	4.355e+00	8.055e-02	5.247e-01	2.851e-01	4.614e+01	3.544e+01	4.370e+00	3.668e+00
scaffold21939-9534	4	7.895e-01	2.303e+00	2.250e+00	3.061e-01	5.557e-01	2.848e-01	3.575e+01	3.482e+01	4.701e+00	3.138e+00
scaffold21961-1324	4	7.834e-01	2.364e+00	2.414e+00	3.276e-01	5.319e-01	2.851e-01	3.978e+01	3.398e+01	4.710e+00	3.314e+00
scaffold219791-13191	4	8.013e-01	-2.210e+00	2.669e+00	4.077e-01	5.532e-01	2.878e-01	2.669e+01	3.056e+01	1.098e+01	3.169e+00
scaffold22012-37007	4	7.502e-01	3.266e+00	2.909e+00	2.615e-01	5.143e-01	2.870e-01	5.159e+01	3.576e+01	5.001e+00	3.501e+00
scaffold22032-1062	4	6.669e-01	3.780e+00	3.826e+00	3.232e-01	5.140e-01	2.775e-01	7.021e+01	3.600e+01	6.177e+00	3.605e+00
scaffold22032-2424	4	6.873e-01	2.575e+00	3.702e+00	4.868e-01	5.195e-01	2.822e-01	6.933e+01	3.723e+01	7.358e+00	3.887e+00
scaffold22032-2458	4	8.047e-01	6.980e+00	3.836e+00	6.882e-02	5.352e-01	2.765e-01	3.527e+01	3.257e+01	3.845e+00	3.197e+00
scaffold22032-2561	4	7.537e-01	3.898e+00	3.494e+00	2.646e-01	5.196e-01	2.883e-01	4.841e+01	3.761e+01	4.431e+00	3.328e+00
scaffold22032-2619	4	7.907e-01	3.055e+00	3.121e+00	3.277e-01	5.233e-01	2.823e-01	3.759e+01	3.184e+01	5.041e+00	3.007e+00
scaffold22032-2623	4	8.100e-01	9.993e+00	4.234e+00	1.827e-02	5.479e-01	2.898e-01	2.723e+01	3.037e+01	3.541e+00	2.745e+00
scaffold22032-4849	4	7.758e-01	6.235e+00	4.109e+00	1.292e-01	5.238e-01	2.851e-01	4.334e+01	3.413e+01	5.177e+00	3.265e+00
scaffold22032-5595	4	7.455e-01	5.102e+00	3.414e+00	1.351e-01	5.162e-01	2.902e-01	5.308e+01	3.632e+01	6.482e+00	3.528e+00
scaffold22032-5942	4	7.769e-01	3.272e+00	3.143e+00	2.978e-01	5.399e-01	2.845e-01	4.098e+01	3.274e+01	3.701e+00	2.968e+00
scaffold22032-7759	4	7.432e-01	3.405e+00	3.427e+00	3.204e-01	5.190e-01	2.867e-01	5.104e+01	3.568e+01	5.482e+00	3.211e+00
scaffold22032-7947	4	8.000e-01	6.328e+00	3.833e+00	9.878e-02	5.466e-01	2.886e-01	3.096e+01	3.041e+01	3.994e+00	3.081e+00
scaffold22038-3495	4	5.944e-01	4.873e+00	4.049e+00	2.287e-01	4.910e-01	2.831e-01	7.976e+01	3.493e+01	7.983e+00	4.223e+00
scaffold22076-5244	4	7.955e-01	2.150e+00	2.341e+00	3.585e-01	5.373e-01	2.894e-01	2.865e+01	3.066e+01	3.930e+00	2.854e+00
scaffold22076-5292	4	8.015e-01	-5.842e-01	2.419e+00	8.092e-01	5.470e-01	2.826e-01	2.467e+01	3.033e+01	9.190e+00	2.995e+00
scaffold22076-5313	4	8.114e-01	-5.756e-02	2.212e+00	9.792e-01	5.269e-01	2.779e-01	2.333e+01	2.826e+01	6.390e+00	2.696e+00
scaffold221019-1296	4	8.053e-01	6.271e+00	3.920e+00	1.096e-01	5.416e-01	2.806e-01	2.742e+01	3.064e+01	3.640e+00	2.866e+00
scaffold221019-1303	4	7.682e-01	3.140e+00	2.967e+00	2.898e-01	5.251e-01	2.835e-01	4.537e+01	3.398e+01	5.888e+00	3.435e+00
scaffold22103-4402	4	7.977e-01	5.949e+00	4.263e+00	1.629e-01	5.349e-01	2.792e-01	2.799e+01	3.033e+01	3.877e+00	2.826e+00
scaffold221284-53	4	7.727e-01	5.010e+00	3.473e+00	1.491e-01	5.266e-01	2.851e-01	4.424e+01	3.458e+01	3.891e+00	3.126e+00
scaffold221284-12301	4	7.553e-01	3.971e+00	3.899e+00	3.084e-01	5.157e-01	2.862e-01	4.464e+01	3.583e+01	6.967e+00	3.959e+00
scaffold22143-9822	4	7.954e-01	2.893e+00	2.710e+00	2.857e-01	5.222e-01	2.861e-01	3.328e+01	3.325e+01	3.299e+00	3.101e+00
scaffold22158-884	4	7.804e-01	5.745e-01	2.948e+00	8.455e-01	5.181e-01	2.901e-01	3.767e+01	3.350e+01	7.865e+00	3.281e+00
scaffold221602-9460	4	7.403e-01	2.725e+00	3.838e+00	4.777e-01	5.175e-01	2.869e-01	4.846e+01	3.837e+01	8.190e+00	4.160e+00
scaffold221602-9488	4	7.832e-01	-1.838e-01	2.077e+00	9.295e-01	5.284e-01	2.834e-01	3.363e+01	3.410e+01	8.836e+00	3.270e+00
scaffold221602-9504	4	8.015e-01	5.182e-01	2.984e+00	8.621e-01	5.261e-01	2.888e-01	2.998e+01	3.255e+01	6.261e+00	3.419e+00
scaffold22197-10291	4	7.840e-01	5.614e+00	3.828e+00	1.425e-01	5.271e-01	2.829e-01	4.064e+01	3.561e+01	4.110e+00	3.233e+00
scaffold22202-556	4	7.906e-01	5.772e+00	3.655e+00	1.143e-01	5.236e-01	2.887e-01	3.644e+01	3.587e+01	4.544e+00	3.385e+00
scaffold222235-6566	4	7.584e-01	2.212e+00	4.180e+00	5.968e-01	5.271e-01	2.776e-01	4.594e+01	3.410e+01	7.181e+00	3.509e+00
scaffold222235-6645	4	8.134e-01	1.375e+00	1.796e+00	4.440e-01	5.380e-01	2.881e-01	1.989e+01	2.727e+01	3.789e+00	2.507e+00
scaffold222235-6666	4	7.937e-01	2.550e+00	2.645e+00	3.349e-01	5.341e-01	2.836e-01	3.174e+01	3.218e+01	4.796e+00	2.955e+00
scaffold22258-2676	4	8.060e-01	2.793e+00	2.721e+00	3.047e-01	5.322e-01	2.810e-01	2.595e+01	2.852e+01	3.936e+00	2.756e+00
scaffold22259-7797	4	7.891e-01	6.692e+00	3.810e+00	7.905e-02	5.116e-01	2.790e-01	3.882e+01	3.500e+01	4.529e+00	3.385e+00
scaffold22259-7866	4	7.620e-01	5.401e+00	4.204e+00	1.989e-01	5.235e-01	2.916e-01	4.955e+01	3.460e+01	5.199e+00	3.284e+00
scaffold22259-8428	4	7.435e-01	4.564e+00	3.754e+00	2.240e-01	5.270e-01	2.842e-01	5.546e+01	3.584e+01	6.203e+00	3.409e+00
scaffold22259-8479	4	7.976e-01	8.136e+00	3.951e+00	3.950e-02	5.355e-01	2.840e-01	3.659e+01	3.349e+01	3.864e+00	3.016e+00
scaffold2226-7393	4	7.875e-01	6.675e+00	3.931e+00	8.951e-02	5.490e-01	2.804e-01	3.749e+01	3.343e+01	2.952e+00	3.127e+00
scaffold2226-7397	4	7.379e-01	7.084e+00	4.336e+00	1.023e-01	5.101e-01	2.842e-01	5.377e+01	3.607e+01	4.983e+00	3.628e+00
scaffold222603-9491	4	7.965e-01	7.653e-01	2.672e+00	7.745e-01	5.441e-01	2.802e-01	2.968e+01	3.078e+01	7.951e+00	3.931e+00
scaffold222735-10043	4	7.985e-01	-3.772e-01	2.153e+00	8.609e-01	5.507e-01	2.803e-01	2.045e+01	2.780e+01	9.523e+00	4.191e+00
scaffold222735-10066	4	8.027e-01	3.342e+00	2.849e+00	2.408e-01	5.346e-01	2.896e-01	2.882e+01	3.028e+01	3.948e+00	2.818e+00
scaffold222735-10102	4	7.909e-01	-9.743e-01	2.433e+00	6.889e-01	5.383e-01	2.792e-01	3.356e+01	3.474e+01	8.467e+00	3.578e+00
scaffold2228-2399	4	7.710e-01	5.217e+00	3.399e+00	1.248e-01	5.383e-01	2.876e-01	4.769e+01	3.537e+01	3.896e+00	3.198e+00
scaffold2228-2401	4	7.701e-01	4.854e+00	3.309e+00	1.424e-01	5.312e-01	2.855e-01	4.230e+01	3.318e+01	4.191e+00	3.137e+00
scaffold222949-8987	4	7.108e-01	7.613e-01	2.936e+00	7.954e-01	5.081e-01	2.843e-01	5.887e+01	3.843e+01	9.690e+00	4.023e+00
scaffold222949-9541	4	7.859e-01	1.087e+00	2.021e+00	5.908e-01	5.308e-01	2.860e-01	3.108e+01	3.242e+01	5.236e+00	2.791e+00
scaffold22295-7405	4	7.735e-01	4.374e+00	3.064e+00	1.534e-01	5.258e-01	2.872e-01	3.955e+01	3.641e+01	3.631e+00	3.389e+00
scaffold222959-10370	4	7.821e-01	5.421e+00	3.916e+00	1.663e-01	5.290e-01	2.755e-01	4.038e+01	3.324e+01	3.343e+00	3.181e+00
scaffold223029-9056	4	7.961e-01	3.738e+00	3.046e+00	2.197e-01	5.150e-01	2.806e-01	3.461e+01	3.153e+01	4.437e+00	3.064e+00
scaffold223029-9066	4	7.951e-01	5.403e+00	3.540e+00	1.269e-01	5.222e-01	2.896e-01	3.540e+01	3.422e+01	4.993e+00	2.959e+00
scaffold223314-4701	4	7.943e-01	7.396e+00	3.726e+00	4.716e-02	5.274e-01	2.870e-01	3.500e+01	3.358e+01	2.913e+00	3.087e+00
scaffold223314-4785	4	7.852e-01	2.957e+00	2.802e+00	2.912e-01	5.320e-01	2.822e-01	3.397e+01	3.544e+01	4.268e+00	3.154e+00
scaffold22359-17113	4	7.694e-01	5.893e+00	4.009e+00	1.416e-01	5.266e-01	2.844e-01	4.882e+01	3.671e+01	4.365e+00	3.557e+00
scaffold22359-17130	4	7.652e-01	5.215e+00	3.764e+00	1.659e-01	5.317e-01	2.788e-01	4.668e+01	3.506e+01	4.385e+00	3.227e+00
scaffold223609-8243	4	7.732e-01	2.600e+00	2.669e+00	3.299e-01	5.416e-01	2.878e-01	3.802e+01	3.631e+01	4.896e+00	3.090e+00
scaffold22423-15250	4	7.959e-01	2.798e+00	2.652e+00	2.914e-01	5.276e-01	2.855e-01	3.565e+01	3.391e+01	5.255e+00	3.186e+00
scaffold22423-15253	4	7.875e-01	3.379e-01	1.663e+00	8.390e-01	5.332e-01	2.888e-01	3.169e+01	3.529e+01	5.735e+00	3.313e+00
scaffold22423-15309	4	8.062e-01	2.531e+00	2.641e+00	3.379e-01	5.499e-01	2.893e-01	2.817e+01	3.136e+01	4.473e+00	2.908e+00
scaffold22437-8926	4	7.510e-01	5.630e+00	3.181e+00	7.680e-02	5.286e-01	2.828e-01	5.360e+01	3.660e+01	5.036e+00	3.436e+00
scaffold224494-4713	4	7.587e-01	2.550e+00	2.571e+00	3.212e-01	5.216e-01	2.922e-01	4.822e+01	3.789e+01	4.498e+00	3.517e+00
scaffold224494-4839	4	7.628e-01	5.672e+00	4.053e+00	1.616e-01	5.242e-01	2.884e-01	4.750e+01	3.605e+01	4.138e+00	3.517e+00
scaffold224494-4860	4	8.058e-01	4.574e+00	3.082e+00	1.378e-01	5.240e-01	2.810e-01	2.924e+01	3.191e+01	3.755e+00	3.255e+00
scaffold224749-3634	4	7.985e-01	3.375e+00	2.777e+00	2.242e-01	5.284e-01	2.806e-01	2.733e+01	3.055e+01	4.382e+00	2.758e+00
scaffold22495-4923	4	7.667e-01	5.499e+00	3.820e+00	1.500e-01	5.222e-01	2.877e-01	5.009e+01	3.401e+01	4.195e+00	3.285e+00
scaffold224963-8436	4	7.984e-01	-6.995e-02	2.572e+00	9.783e-01	5.236e-01	2.886e-01	2.633e+01	3.136e+01	6.194e+00	2.782e+00
scaffold225149-661	4	7.720e-01	7.120e+00	3.979e+00	7.356e-02	5.218e-01	2.873e-01	4.943e+01	3.730e+01	2.898e+00	3.268e+00
scaffold22528-3529	4	7.265e-01	7.380e+00	4.267e+00	8.372e-02	5.179e-01	2.942e-01	5.785e+01	3.605e+01	6.147e+00	3.366e+00
scaffold225308-3532	4	7.960e-01	1.326e+00	2.054e+00	5.183e-01	5.295e-01	2.813e-01	3.167e+01	3.295e+01	7.433e+00	3.638e+00
scaffold225308-6589	4	7.435e-01	3.771e+00	4.010e+00	3.469e-01	5.205e-01	2.863e-01	5.190e+01	3.704e+01	5.304e+00	3.459e+00
scaffold225636-4672	4	7.782e-01	-6.378e-02	3.073e+00	9.834e-01	5.367e-01	2.826e-01	3.751e+01	3.408e+01	7.440e+00	3.235e+00
scaffold22588-1134	4	7.794e-01	7.709e+00	3.957e+00	5.140e-02	5.351e-01	2.848e-01	4.194e+01	3.371e+01	4.404e+00	3.172e+00
scaffold22588-1225	4	7.570e-01	3.457e+00	4.176e+00	4.078e-01	5.266e-01	2.837e-01	4.580e+01	3.423e+01	5.583e+00	3.279e+00
scaffold22588-11973	4	7.956e-01	3.924e+00	3.360e+00	2.429e-01	5.393e-01	2.880e-01	4.123e+01	3.444e+01	4.128e+00	3.004e+00
scaffold2262-21574	4	7.513e-01	3.782e+00	3.040e+00	2.135e-01	5.070e-01	2.855e-01	5.316e+01	3.620e+01	6.703e+00	3.400e+00
scaffold226612-12673	4	7.995e-01	6.166e+00	3.626e+00	8.901e-02	5.483e-01	2.810e-01	3.581e+01	3.332e+01	3.263e+00	3.042e+00
scaffold226612-12707	4	7.883e-01	3.152e+00	3.238e+00	3.303e-01	5.352e-01	2.835e-01	3.817e+01	3.254e+01	4.158e+00	2.984e+00
scaffold226612-12714	4	7.808e-01	5.657e+00	3.607e+00	1.168e-01	5.448e-01	2.915e-01	3.774e+01	3.386e+01	3.649e+00	3.218e+00
scaffold22737-5053	4	8.094e-01	2.941e+00	2.558e+00	2.502e-01	5.330e-01	2.861e-01	2.109e+01	2.802e+01	3.997e+00	2.755e+00
scaffold22737-5061	4	7.991e-01	3.935e+00	3.215e+00	2.209e-01	5.427e-01	2.790e-01	3.331e+01	3.174e+01	4.273e+00	2.963e+00
scaffold22737-5063	4	7.930e-01	1.711e+00	2.022e+00	3.973e-01	5.259e-01	2.804e-01	3.015e+01	3.237e+01	4.483e+00	3.093e+00
scaffold22737-10541	4	7.164e-01	5.110e+00	3.374e+00	1.298e-01	5.154e-01	2.909e-01	5.294e+01	4.191e+01	5.344e+00	4.718e+00
scaffold22755-16097	4	7.075e-01	4.423e+00	3.536e+00	2.110e-01	5.104e-01	2.889e-01	6.400e+01	3.714e+01	4.378e+00	3.825e+00
scaffold22769-20524	4	7.907e-01	7.715e+00	4.092e+00	5.940e-02	5.338e-01	2.886e-01	3.652e+01	3.489e+01	3.774e+00	3.011e+00
scaffold22801-13681	4	8.111e-01	2.575e+00	2.911e+00	3.763e-01	5.403e-01	2.893e-01	2.683e+01	3.220e+01	5.103e+00	3.008e+00
scaffold22829-11979	4	8.038e-01	5.334e+00	3.368e+00	1.132e-01	5.357e-01	2.931e-01	3.248e+01	3.233e+01	4.392e+00	3.005e+00
scaffold22841-26970	4	7.892e-01	1.276e+00	3.424e+00	7.094e-01	5.220e-01	2.801e-01	3.349e+01	3.211e+01	7.540e+00	3.592e+00
scaffold22841-27004	4	7.967e-01	1.050e+00	1.710e+00	5.393e-01	5.330e-01	2.825e-01	2.722e+01	3.197e+01	4.854e+00	2.956e+00
scaffold22841-30006	4	8.045e-01	-1.323e+00	2.703e+00	6.243e-01	5.474e-01	2.848e-01	2.510e+01	2.875e+01	6.867e+00	2.751e+00
scaffold22841-30949	4	7.118e-01	2.478e+00	3.213e+00	4.406e-01	5.128e-01	2.789e-01	6.306e+01	3.726e+01	7.007e+00	3.769e+00
scaffold22844-9807	4	8.088e-01	7.007e+00	3.492e+00	4.482e-02	5.313e-01	2.843e-01	3.209e+01	3.247e+01	2.740e+00	2.966e+00
scaffold228680-55	4	7.922e-01	3.384e+00	2.926e+00	2.474e-01	5.213e-01	2.867e-01	3.234e+01	3.242e+01	4.932e+00	2.988e+00
scaffold228680-59	4	7.461e-01	1.727e+00	3.795e+00	6.491e-01	5.269e-01	2.803e-01	5.384e+01	3.560e+01	6.144e+00	3.255e+00
scaffold228680-64	4	8.107e-01	3.251e+00	2.395e+00	1.745e-01	5.521e-01	2.830e-01	2.743e+01	3.200e+01	4.731e+00	2.827e+00
scaffold228680-77	4	7.952e-01	3.034e+00	2.522e+00	2.290e-01	5.220e-01	2.855e-01	2.782e+01	3.124e+01	4.771e+00	2.993e+00
scaffold228680-100	4	8.056e-01	1.642e+00	1.984e+00	4.078e-01	5.348e-01	2.873e-01	2.264e+01	2.640e+01	3.831e+00	2.533e+00
scaffold22872-9207	4	7.263e-01	4.696e+00	3.649e+00	1.982e-01	5.014e-01	2.840e-01	5.591e+01	3.718e+01	5.625e+00	3.929e+00
scaffold22872-9227	4	7.528e-01	5.333e+00	3.089e+00	8.431e-02	5.110e-01	2.876e-01	4.634e+01	3.870e+01	4.544e+00	3.909e+00
scaffold228952-6664	4	8.040e-01	-1.169e-01	1.665e+00	9.440e-01	5.334e-01	2.846e-01	2.082e+01	2.713e+01	6.107e+00	2.682e+00
scaffold22936-19930	4	7.402e-01	2.567e+00	3.594e+00	4.751e-01	5.240e-01	2.825e-01	4.613e+01	3.748e+01	7.609e+00	3.485e+00
scaffold22939-9525	4	7.530e-01	3.385e+00	3.414e+00	3.215e-01	5.090e-01	2.933e-01	5.180e+01	3.735e+01	4.087e+00	3.687e+00
scaffold22960-1566	4	7.301e-01	4.775e+00	3.492e+00	1.715e-01	5.266e-01	2.863e-01	5.795e+01	3.716e+01	5.016e+00	3.595e+00
scaffold230261-15170	4	7.815e-01	1.245e+00	2.673e+00	6.415e-01	5.252e-01	2.828e-01	3.338e+01	3.156e+01	4.155e+00	2.827e+00
scaffold230261-15195	4	8.097e-01	4.494e+00	3.076e+00	1.440e-01	5.347e-01	2.898e-01	2.750e+01	3.244e+01	4.213e+00	2.978e+00
scaffold230308-6363	4	7.107e-01	4.711e+00	4.101e+00	2.507e-01	5.245e-01	2.826e-01	6.506e+01	3.739e+01	3.697e+00	3.746e+00
scaffold230308-6415	4	6.962e-01	3.832e+00	3.678e+00	2.974e-01	5.301e-01	2.869e-01	6.660e+01	3.574e+01	4.342e+00	3.712e+00
scaffold23038-5372	4	8.028e-01	-5.892e-01	2.091e+00	7.781e-01	5.276e-01	2.865e-01	3.109e+01	3.179e+01	6.168e+00	3.111e+00
scaffold23038-5374	4	7.697e-01	5.974e+00	4.334e+00	1.681e-01	5.189e-01	2.905e-01	4.198e+01	3.443e+01	6.415e+00	3.571e+00
scaffold23038-5392	4	7.994e-01	9.390e-01	2.381e+00	6.933e-01	5.359e-01	2.836e-01	2.746e+01	3.159e+01	7.569e+00	3.095e+00
scaffold23038-6018	4	8.104e-01	2.414e+00	2.360e+00	3.064e-01	5.451e-01	2.836e-01	2.757e+01	3.131e+01	4.153e+00	2.835e+00
scaffold23038-6025	4	7.947e-01	-1.198e+00	4.175e+00	7.741e-01	5.259e-01	2.822e-01	3.286e+01	3.178e+01	8.290e+00	3.209e+00
scaffold23038-6029	4	7.936e-01	1.566e-01	1.926e+00	9.352e-01	5.405e-01	2.848e-01	3.084e+01	3.170e+01	6.555e+00	3.024e+00
scaffold23038-6031	4	7.849e-01	3.313e+00	3.203e+00	3.010e-01	5.190e-01	2.844e-01	3.718e+01	3.405e+01	4.870e+00	3.184e+00
scaffold23053-8203	4	7.858e-01	2.417e-01	2.170e+00	9.113e-01	5.353e-01	2.835e-01	3.364e+01	3.385e+01	7.859e+00	3.228e+00
scaffold23053-8218	4	7.736e-01	-2.593e+00	3.111e+00	4.046e-01	5.311e-01	2.862e-01	3.956e+01	3.384e+01	9.633e+00	3.498e+00
scaffold230551-16219	4	7.014e-01	3.212e+00	2.751e+00	2.429e-01	5.106e-01	2.867e-01	5.945e+01	3.759e+01	7.170e+00	3.982e+00
scaffold230683-3149	4	7.555e-01	5.089e+00	3.870e+00	1.885e-01	5.433e-01	2.778e-01	4.967e+01	3.607e+01	3.910e+00	3.397e+00
scaffold2307-2475	4	7.222e-01	7.178e+00	3.963e+00	7.012e-02	5.110e-01	2.961e-01	5.385e+01	3.972e+01	6.334e+00	4.102e+00
scaffold230794-10586	4	7.797e-01	7.650e-01	2.028e+00	7.060e-01	5.318e-01	2.872e-01	2.942e+01	3.021e+01	8.319e+00	3.395e+00
scaffold230936-5725	4	8.041e-01	8.099e-01	1.672e+00	6.281e-01	5.284e-01	2.927e-01	2.341e+01	2.916e+01	5.285e+00	2.738e+00
scaffold230979-4950	4	8.004e-01	-2.140e-01	2.241e+00	9.239e-01	5.250e-01	2.875e-01	2.925e+01	3.236e+01	6.803e+00	2.769e+00
scaffold23110-5879	4	7.122e-01	1.723e+00	2.823e+00	5.417e-01	5.109e-01	2.862e-01	5.985e+01	3.721e+01	4.791e+00	3.636e+00
scaffold231309-8973	4	7.434e-01	3.069e+00	2.902e+00	2.903e-01	5.065e-01	2.848e-01	5.604e+01	3.433e+01	6.031e+00	3.392e+00
scaffold231432-17691	4	7.816e-01	2.914e+00	3.249e+00	3.698e-01	5.352e-01	2.905e-01	4.191e+01	3.337e+01	4.173e+00	3.081e+00
scaffold231534-9583	4	7.812e-01	9.050e-01	2.199e+00	6.806e-01	5.403e-01	2.849e-01	3.070e+01	3.333e+01	8.012e+00	3.220e+00
scaffold231534-9585	4	8.027e-01	1.137e+00	3.001e+00	7.047e-01	5.550e-01	2.798e-01	2.765e+01	3.069e+01	1.049e+01	3.051e+00
scaffold231707-15274	4	7.991e-01	5.816e-01	3.693e+00	8.749e-01	5.468e-01	2.865e-01	2.436e+01	3.125e+01	5.928e+00	2.965e+00
scaffold231707-15331	4	7.792e-01	2.276e+00	2.879e+00	4.293e-01	5.457e-01	2.846e-01	3.814e+01	3.366e+01	5.429e+00	3.145e+00
scaffold23205-6083	4	8.021e-01	2.077e+00	2.612e+00	4.264e-01	5.314e-01	2.871e-01	3.014e+01	3.224e+01	5.177e+00	2.849e+00
scaffold23381-9515	4	7.463e-01	5.333e+00	4.272e+00	2.119e-01	5.104e-01	2.832e-01	4.681e+01	3.943e+01	5.264e+00	4.303e+00
scaffold234064-5843	4	8.020e-01	3.851e+00	2.957e+00	1.929e-01	5.358e-01	2.849e-01	2.846e+01	3.172e+01	3.971e+00	2.874e+00
scaffold234064-5879	4	7.937e-01	3.105e+00	2.695e+00	2.493e-01	5.337e-01	2.893e-01	2.954e+01	3.177e+01	3.092e+00	2.862e+00
scaffold234064-5979	4	8.100e-01	1.716e+00	2.168e+00	4.287e-01	5.277e-01	2.890e-01	3.432e+01	3.498e+01	6.915e+00	3.465e+00
scaffold234064-5996	4	7.443e-01	4.735e+00	3.358e+00	1.585e-01	5.196e-01	2.894e-01	5.016e+01	3.489e+01	6.290e+00	3.372e+00
scaffold23414-7359	4	7.966e-01	5.175e+00	3.202e+00	1.061e-01	5.322e-01	2.865e-01	3.532e+01	3.453e+01	4.471e+00	3.087e+00
scaffold234382-12586	4	7.674e-01	4.665e+00	3.588e+00	1.935e-01	5.182e-01	2.891e-01	4.564e+01	3.524e+01	4.273e+00	3.299e+00
scaffold234410-5517	4	7.938e-01	-9.591e-01	2.210e+00	6.644e-01	5.223e-01	2.875e-01	2.461e+01	2.895e+01	8.139e+00	2.938e+00
scaffold234410-5553	4	8.029e-01	2.008e-01	2.442e+00	9.345e-01	5.400e-01	2.974e-01	2.451e+01	2.947e+01	1.053e+01	4.143e+00
scaffold234410-5586	4	7.846e-01	2.598e+00	2.515e+00	3.016e-01	5.528e-01	2.783e-01	3.407e+01	3.634e+01	4.871e+00	3.224e+00
scaffold234410-5600	4	7.895e-01	1.728e+00	2.425e+00	4.761e-01	5.352e-01	2.883e-01	3.532e+01	3.502e+01	5.272e+00	2.958e+00
scaffold234410-5612	4	7.877e-01	-4.373e-01	2.584e+00	8.657e-01	5.126e-01	2.870e-01	3.686e+01	3.683e+01	9.136e+00	3.449e+00
scaffold234410-5617	4	7.949e-01	-4.304e-01	2.966e+00	8.846e-01	5.319e-01	2.866e-01	2.671e+01	3.058e+01	1.160e+01	3.761e+00
scaffold23507-13426	4	7.962e-01	7.212e+00	3.872e+00	6.249e-02	5.259e-01	2.862e-01	3.347e+01	3.286e+01	2.494e+00	2.959e+00
scaffold235165-9498	4	7.745e-01	1.716e+00	3.761e+00	6.482e-01	5.401e-01	2.861e-01	3.896e+01	3.612e+01	1.033e+01	4.293e+00
scaffold23522-6119	4	7.893e-01	2.968e+00	3.114e+00	3.405e-01	5.276e-01	2.816e-01	3.565e+01	3.421e+01	5.252e+00	3.270e+00
scaffold235519-6489	4	7.896e-01	9.309e-01	2.332e+00	6.897e-01	5.470e-01	2.847e-01	3.093e+01	3.140e+01	7.644e+00	3.509e+00
scaffold235519-6504	4	7.945e-01	-1.216e-01	2.640e+00	9.633e-01	5.382e-01	2.829e-01	3.126e+01	3.228e+01	9.343e+00	3.851e+00
scaffold235519-6513	4	7.725e-01	-9.061e-02	3.721e+00	9.806e-01	5.315e-01	2.896e-01	4.043e+01	3.586e+01	5.577e+00	2.954e+00
scaffold235519-6667	4	7.724e-01	-1.918e+00	3.975e+00	6.294e-01	5.213e-01	2.904e-01	4.383e+01	3.632e+01	8.482e+00	3.544e+00
scaffold235519-6674	4	8.179e-01	2.457e+00	2.309e+00	2.872e-01	5.405e-01	2.897e-01	2.148e+01	2.758e+01	3.551e+00	2.777e+00
scaffold235519-6692	4	7.699e-01	2.637e+00	2.943e+00	3.702e-01	5.215e-01	2.878e-01	4.178e+01	3.525e+01	1.135e+01	4.868e+00
scaffold23562-23049	4	7.965e-01	2.568e+00	2.491e+00	3.027e-01	5.319e-01	2.884e-01	3.156e+01	3.204e+01	4.973e+00	2.993e+00
scaffold23564-3593	4	7.519e-01	4.550e+00	3.335e+00	1.724e-01	5.173e-01	2.833e-01	5.223e+01	3.593e+01	3.070e+00	3.355e+00
scaffold23564-3642	4	6.569e-01	4.605e+00	3.736e+00	2.178e-01	5.001e-01	2.822e-01	7.212e+01	3.615e+01	5.841e+00	4.167e+00
scaffold2357-2645	4	7.960e-01	7.062e+00	4.202e+00	9.286e-02	5.367e-01	2.810e-01	3.348e+01	3.327e+01	3.717e+00	3.324e+00
scaffold2357-10923	4	8.035e-01	-1.564e+00	2.213e+00	4.798e-01	5.470e-01	2.769e-01	3.022e+01	3.232e+01	1.167e+01	3.356e+00
scaffold2357-10944	4	7.873e-01	1.840e+00	2.386e+00	4.406e-01	5.337e-01	2.867e-01	3.825e+01	3.464e+01	6.263e+00	3.103e+00
scaffold2357-10954	4	8.093e-01	-3.523e-01	2.274e+00	8.769e-01	5.439e-01	2.826e-01	2.308e+01	2.861e+01	6.401e+00	3.422e+00
scaffold2357-10982	4	7.648e-01	1.066e+00	1.714e+00	5.338e-01	5.404e-01	2.784e-01	3.885e+01	3.571e+01	6.876e+00	3.688e+00
scaffold23607-19358	4	7.799e-01	6.881e+00	3.958e+00	8.211e-02	5.275e-01	2.870e-01	3.702e+01	3.532e+01	5.583e+00	3.250e+00
scaffold23607-19416	4	7.934e-01	1.278e+00	2.085e+00	5.399e-01	5.688e-01	2.736e-01	2.834e+01	3.240e+01	4.409e+00	2.880e+00
scaffold23607-19426	4	7.643e-01	2.334e-01	2.579e+00	9.279e-01	5.314e-01	2.851e-01	4.287e+01	3.546e+01	9.435e+00	3.912e+00
scaffold23611-3822	4	7.429e-01	2.183e+00	2.231e+00	3.278e-01	5.331e-01	2.786e-01	4.767e+01	3.735e+01	5.332e+00	4.299e+00
